,Recall,Precision,F1-Score,Accuracy,ROC AUC
Info Gain_No SMOTE,0.9630733724396576,0.9631090875257063,0.9627565684943743,0.9630733724396576,0.9949369261531241
Info Gain_SMOTE,0.9600923165689008,0.960421476945523,0.960099670633671,0.9600923165689008,0.9952070947167505
Permutation Importance_No SMOTE,0.9675930377920954,0.9676719061355095,0.967489895476803,0.9675930377920954,0.996148654778154
Permutation Importance_SMOTE,0.9665352437734398,0.9669522529274419,0.9666502116665112,0.9665352437734398,0.9963229538267273
Correlation Coefficient_No SMOTE,0.9518222906048659,0.9518223094484859,0.951692435897889,0.9518222906048659,0.9925940364647386
Correlation Coefficient_SMOTE,0.9483604192710837,0.9499660205473901,0.9490010806197775,0.9483604192710837,0.9899442889740675
