,Recall,Precision,F1-Score,Accuracy,ROC AUC
No SMOTE,0.9517214849009424,0.9516818201252157,0.951530038630774,0.9517214849009424,0.9942341437540076
SMOTE,0.9521061742642816,0.9530260848397615,0.9524256981289,0.9521061742642816,0.9945297833757593
