,Recall,Precision,F1-Score,Accuracy,ROC AUC
No SMOTE,0.9518222906048659,0.9518223094484859,0.951692435897889,0.9518222906048659,0.9925940364647386
SMOTE,0.9483604192710837,0.9499660205473901,0.9490010806197775,0.9483604192710837,0.9899442889740675
