,Recall,Precision,F1-Score,Accuracy,ROC AUC
Info Gain_No SMOTE,0.9517214849009424,0.9516818201252157,0.951530038630774,0.9517214849009424,0.9942341437540076
Info Gain_SMOTE,0.9521061742642816,0.9530260848397615,0.9524256981289,0.9521061742642816,0.9945297833757593
Permutation Importance_No SMOTE,0.9605693402577419,0.9604601864244882,0.9603385067341639,0.9605693402577419,0.9952748994129693
Permutation Importance_SMOTE,0.9603769955760724,0.9608791986085948,0.9605658226671869,0.9603769955760724,0.9953894402366852
Correlation Coefficient_No SMOTE,0.9403731486824389,0.9400845076491737,0.94018974585281,0.9403731486824389,0.9902645970678258
Correlation Coefficient_SMOTE,0.9344104635506828,0.9374201072331514,0.9354873644638397,0.9344104635506828,0.99015369379735
