,Recall,Precision,F1-Score,Accuracy,ROC AUC
SVM,0.9548033464756227,0.9547276991971981,0.9545201800478638,0.9548033464756227,0.9924436239792114
Naive Bayes,0.8037311279930762,0.8185729931451581,0.8085469801617232,0.8037311279930762,0.9409597674518638
Decision Tree,0.9489373978267142,0.9489802512606911,0.948944158312696,0.9489373978267142,0.955266495690774
KNN,0.9577844023463794,0.9577826790105068,0.9575761380798523,0.9577844023463794,0.9803590997683113
Random Forest,0.9686508318107511,0.9686952972365536,0.9684828435477336,0.9686508318107511,0.996362596450676
Ensemble,0.9658621021252043,0.9660123239463766,0.9657493076068293,0.9658621021252043,0.995998589214188
