,Recall,Precision,F1-Score,Accuracy,ROC AUC
SVM,0.8982594480238485,0.8981559719952745,0.8975209604632078,0.8982594480238485,0.9749562329352953
Naive Bayes,0.7945956341955958,0.7815319973720575,0.7814775184615258,0.7945956341955958,0.919359414567458
Decision Tree,0.9514376382344456,0.9511500167846538,0.9512340096275399,0.9514376382344456,0.9533374013773944
KNN,0.9507644965862102,0.9507204770445893,0.9506291594954253,0.9507644965862102,0.9774583439796007
Random Forest,0.9684585056255409,0.9685418525441093,0.9682935820560747,0.9684585056255409,0.9964730070742763
Ensemble,0.9636503509952881,0.9637123951193529,0.9633467706828657,0.9636503509952881,0.9954496024922759
