,Recall,Precision,F1-Score,Accuracy,ROC AUC
SVM,0.9455664550875168,0.9459498043916459,0.9457059607257242,0.9455664550875168,0.9889102404915338
Naive Bayes,0.7839969224850933,0.8243450621697405,0.7965173782841362,0.7839969224850933,0.9428454502470678
Decision Tree,0.9401808040007694,0.9414364824564972,0.9406902199274872,0.9401808040007694,0.9497135605348784
KNN,0.9426812848624736,0.9429667928560156,0.942795296919599,0.9426812848624736,0.9446963955848904
Random Forest,0.9601846508944027,0.9611023665244756,0.960517581794123,0.9601846508944027,0.9953659739262212
Ensemble,0.9488363146758992,0.9491143483050988,0.9489096866200162,0.9488363146758992,0.9939416082791968
