,Recall,Precision,F1-Score,Accuracy,ROC AUC
SVM,0.9005577995768417,0.901469787317086,0.9000982418707157,0.9005577995768417,0.9727229464551593
Naive Bayes,0.8028467012887094,0.797445127960849,0.7958017568422325,0.8028467012887094,0.9225501913706488
Decision Tree,0.9378726678207348,0.9369994532667265,0.9373673200082078,0.9378726678207348,0.9383806702206526
KNN,0.938642046547413,0.9391378548164616,0.9385555752762705,0.938642046547413,0.9770367223108639
Random Forest,0.9590305828043855,0.959185565754454,0.9589844176788093,0.9590305828043855,0.9957958455432194
Ensemble,0.9540296210809771,0.9541999444532074,0.9538519695242214,0.9540296210809771,0.9935013126157971
