,Recall,Precision,F1-Score,Accuracy,ROC AUC
No SMOTE,0.9605693402577419,0.9604601864244882,0.9603385067341639,0.9605693402577419,0.9952748994129693
SMOTE,0.9603769955760724,0.9608791986085948,0.9605658226671869,0.9603769955760724,0.9953894402366852
